Action,Date,Ad Title/Id,Page/App
Impression,2025/12/29,856125494,mail.yahoo.com
Impression,2025/12/29,943238824,mail.yahoo.com
Impression,2025/12/29,943600494,mail.yahoo.com
Impression,2025/12/29,971361903,mail.yahoo.com
Impression,2025/12/30,1001153536,mail.yahoo.com
Impression,2025/12/30,1003135786,mail.yahoo.com
Impression,2025/12/30,1013892746,mail.yahoo.com
Impression,2025/12/30,1073827784,mail.yahoo.com
Impression,2025/12/30,1078084134,mail.yahoo.com
Impression,2025/12/30,856778346,mail.yahoo.com
Impression,2025/12/30,857440923,mail.yahoo.com
Impression,2025/12/30,926853484,mail.yahoo.com
Impression,2025/12/30,943453424,mail.yahoo.com
Impression,2025/12/31,1014037056,mail.yahoo.com
Impression,2025/12/31,1015782606,mail.yahoo.com
Impression,2025/12/31,1099792833,mail.yahoo.com
Impression,2026/01/02,1007867446,Woodoku
Impression,2026/01/02,1011910846,mail.yahoo.com
Impression,2026/01/02,943683094,mail.yahoo.com
Impression,2026/01/04,705131106,Jigsaw Puzzles
Impression,2026/01/04,718807916,AP news
Impression,2026/01/04,757450226,Jigsaw Puzzles
Impression,2026/01/04,916913384,Jigsaw Puzzles
Impression,2026/01/04,916932974,Jigsaw Puzzles
Impression,2026/01/05,1013682046,mail.yahoo.com
Impression,2026/01/05,1013892746,mail.yahoo.com
Impression,2026/01/05,1077195364,mail.yahoo.com
Impression,2026/01/05,1078335364,mail.yahoo.com
Impression,2026/01/05,1078343404,mail.yahoo.com
Impression,2026/01/05,1081235864,mail.yahoo.com
Impression,2026/01/05,856039824,mail.yahoo.com
Impression,2026/01/05,891258786,mail.yahoo.com
Impression,2026/01/05,891341856,mail.yahoo.com
Impression,2026/01/05,937408326,mail.yahoo.com
Impression,2026/01/05,943453424,mail.yahoo.com
Impression,2026/01/05,943683094,mail.yahoo.com
Impression,2026/01/05,953684996,mail.yahoo.com
Impression,2026/01/05,973264446,mail.yahoo.com
Impression,2026/01/06,971302593,mail.yahoo.com
Impression,2026/01/08,971302593,Sudoku.com
Impression,2026/01/09,1011494366,mail.yahoo.com
Impression,2026/01/09,1098385143,Woodoku
